systemd-sysvcompat 215-4
tar 1.28-1
tdb 1.3.0-1
texinfo 5.2-2
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.34-1
ttf-droid 20121017-3
ttf-indic-otf 0.2-7
ttf-ms-fonts 2.0-10
ttf-tibetan-machine 1.901-6
tzdata 2014e-1
unzip 6.0-7
upx 3.91-1
uriparser 0.8.0-1
usbutils 007-1
util-linux 2.24.2-1
v4l-utils 1.2.1-1
vde2 2.3.2-6
vi 1:050325-4
videoproto 2.3.2-1
virtualbox-guest-modules 4.3.14-3
virtualbox-guest-utils 4.3.14-2
vte 0.28.2-4
vte-common 0.36.3-1
wayland 1.5.0-1
wbar 2.3.4-2
webrtc-audio-processing 0.1-2
wget 1.15-1
which 2.20-7
wireless_tools 30.pre9-1
withlock-svn 20120306-1
wpa_actiond 1.4-2
wpa_supplicant 2.2-2
xcalib 0.8-5
xcb-proto 1.10-2
xcb-util 0.3.9-2
xcb-util-cursor 0.1.1-1
xcb-util-image 0.3.9-2
xcb-util-keysyms 0.3.9-2
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcursor-bluecurve 0.1.1-5
xcursor-vanilla-dmz-aa 0.4.4-1
xdg-utils 1.1.0.git20140630-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.0-2
xf86-input-keyboard 1.8.0-3
xf86-input-mouse 1.9.0-3
xf86-input-mtrack 0.3.0-1
xf86-input-synaptics 1.8.0-2
xf86-input-vmmouse 13.0.0-4
xf86-video-ati 1:7.4.0-3
xf86-video-fbdev 0.4.4-3
xf86-video-i740 1.3.4-5
xf86-video-intel 2.99.914-3
xf86-video-nouveau 1.0.10-3
xf86-video-qxl 0.1.1-3
xf86-video-vesa 2.3.2-5
xf86-video-vmware 13.0.2-2
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xineramaproto 1.2.1-3
xkb-switch-git 20130411-2
xkeyboard-config 2.12-1
xorg-bdftopcf 1.0.4-2
xorg-font-util 1.3.0-2
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.1-3
xorg-iceauth 1.0.6-1
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.1-1
xorg-server 1.16.0-6
xorg-server-common 1.16.0-6
xorg-server-utils 7.6-4
xorg-server-xvfb 1.16.0-6
xorg-sessreg 1.0.8-2
xorg-setxkbmap 1.3.0-2
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.4-2
xorg-xdpyinfo 1.3.1-1
xorg-xgamma 1.0.5-2
xorg-xhost 1.0.6-1
xorg-xinit 1.3.3-3
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.2.4-2
xorg-xkill 1.0.4-1
xorg-xmodmap 1.0.8-1
xorg-xrandr 1.4.3-1
xorg-xrdb 1.1.0-1
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.26-1
xz 5.0.5-2
yajl 2.1.0-1
zlib 1.2.8-3
zramctl 0.2-1
